K1,K2,K3,D1,D2,D3,Status,Event Title,,Additional,City,State,,Start Time,Time Zone,,Event URL,,,Date
,,,,,,,,,,,,,,,,,,,
,,,sb,toph,EG,Delete,Veterans for Maura meeting,"Please Join NH Veterans for Maura. Veterans supporting Maura Sullivan, Marine & Iraq Veteran, for Congress.
 
 As a former Assistant Secretary of Veterans Affairs in the Obama Administration, a Marine Corps Iraq Veteran, and businesswoman, Maura Sullivan has dedicated her life to serving our country and fighting for the people and causes she believes in. Maura believes we face a national crisis of leadership, and we need people in Congress who have the integrity, courage, and values to help New Hampshire communities meet our challenges.
 
 Learn more about Maura at, www.MauraforNH.com",,,,"The 401 Tavern - Hampton, NH",17:00:00,4,2018-08-08T17:00:00-0400,https://www.facebook.com/events/442889609539789/,Veterans for Maura meeting,https://www.facebook.com/TeamMauraforNH/,8/8/2018
sb,cj,,,,,,Westside Office Opening with Martin Heinrich,Join Martin Heinrich and the Democratic Party of New Mexico for the opening of our newest field office on the Westside!,,,,3250 Coors Blvd NW Ste E -,17:30:00,6,2018-08-08T17:30:00-0600,https://www.facebook.com/events/669163300129546/,Westside Office Opening with Martin Heinrich,https://www.facebook.com/TeamHeinrich/,8/8/2018
sb,cj,,,,,,Breakfast with Chip Roy in Blanco County,"We are pleased to invite you to attend breakfast with Chip Roy and other influencers from across Blanco County on August 16th from 9 AM to 10:30AM at Old 300 BarBQ in the ""Back 40"". Please RSVP using this eventbrite. 
 
 We look forward to seeing you! 
 
 Breakfast will be provided.",,,,"Old 300 BBQ - Blanco, TX",9:00:00,5,2018-08-09T09:00:00-0500,https://www.facebook.com/events/2194659777436144/,Breakfast with Chip Roy in Blanco County,https://www.facebook.com/ChipRoyforCongress/,8/9/2018
sb,cj,,,,,,Celebrate Christy's Birthday with us!,"Please join 
 
 Scott and Christy Wallace
 
 for a fundraising reception celebrating Christy's birthday! 
 
 Ticket: $75
 
 Thursday, August 9th
 
 5:30-7:00PM
 
 Space is limited, so please be sure to RSVP below
 
 https://secure.actblue.com/donate/8092018",,,,"Crossing Vineyards and Winery - Washington Crossing, PA",17:30:00,4,2018-08-09T17:30:00-0400,https://www.facebook.com/events/249078979249309/,Celebrate Christy's Birthday with us!,https://www.facebook.com/ScottWallacePA/,8/9/2018
sb,cj,,,,,,Congressional Debate in Anchorage,"Getting ready for the general election! I will be debating Thomas “John” Nelson, a Republican primary challenger running against Don Young. Come out and see the contrast in our ideas for Alaska and our nation. Thursday, August 9th at 11:45 AM. Hosted by the Bartlett Club at 1300 E 19th Ave, Anchorage.",,,,1300 E 19th Ave; Anchorage -,11:45:00,8,2018-08-09T11:45:00-0800,https://www.facebook.com/events/275619376504742/,Congressional Debate in Anchorage,https://www.facebook.com/dimitriforcongress/,8/9/2018
EG,,,sb,ykh,cj,Delete,Democratic Harmony Fest,"The LVDPC is hosting a unity event! This event is FREE to all Democrats and Progressives who want to get or stay involved.
 
 Please RSVP to lvdpcoalition@gmail.com or call (610) 871-1416 for more information.",,,,American Club of Coplay -,18:00:00,4,2018-08-09T18:00:00-0400,https://www.facebook.com/events/466933600399844/,Democratic Harmony Fest,https://www.facebook.com/wildforcongress/,8/9/2018
ykh,TP,cj,,,sg,Confirm,Reception With Tom Perriello,"Please join former Congressman Tom Perriello for a reception in support of Abigail Spanberger, the Democratic nominee for Virginia's 7th Congressional District.
 
 Abigail will be there to listen to your story, your concerns, and share how she can make a positive difference in your life as a member of Congress.
 
 **********************************
 RSVP AND LOCATION
 
 Please RSVP to confirm your attendance: 
 http://bit.ly/Aug9VagabondRSVP
 
 Vagabond Restaurant and Speakeasy
 700 E. Broad St.
 Richmond, VA 23219
 
 For more information, contact Mary Jo at maryjo@abigailspanberger.com
 
 **********************************
 CAMPAIGN PRIORITIES
 We need leaders in Washington who are working every day to make the lives of Central Virginians better. As a member of Congress, Abigail will bridge divides by listening to all sides, and work for solutions that serve the people of our district, rather than escalating everything to a partisan fight. Abigail’s commitment to Virginia’s working families:
 • Safeguarding Social Security and Medicare into the future
 • Fighting to ensure that every person has access to affordable, quality healthcare
 • Strengthening our public education system, and providing more opportunities for job training and apprenticeships
 • Promoting economic growth that leads to higher wages and better jobs
 
 **********************************
 ABOUT ABIGAIL
 Abigail grew up in Short Pump, in Henrico County. She attended J.R. Tucker High School’s Spanish immersion program, served as a Senate Page for US Senator Chuck Robb (D-VA), and graduated from the University of Virginia. After college, Abigail moved to Germany and earned her MBA from a dual-degree German-American program between the GISMA business school and Purdue University. 
 
 Abigail began her career of public service as a federal law enforcement officer working narcotics and money laundering cases with the US Postal Inspection Service. Following her love of country, public service, and languages, Abigail joined the CIA as an Operations Officer. She traveled and lived abroad collecting intelligence, managing assets, and overseeing high-profile programs in service to the United States. In 2014, Abigail left government service to begin a career in the private sector and bring her and her family back home to Virginia. Working at EAB – Royall & Company, Abigail has worked with colleges and universities to create diverse student bodies, increase graduation rates, and break down financial barriers to higher education.
 
 Abigail and her husband, Adam, live with their children in Glen Allen.
 
 Learn more about Abigail at www.abigailspanberger.com",,,,"700 E Broad St, Richmond, VA 23219-1836, United States -",18:00:00,4,2018-08-09T18:00:00-0400,https://www.facebook.com/events/523955234728487/,Reception With Tom Perriello,https://www.facebook.com/SpanbergerForCongress/,8/9/2018
sb,ykh,cj,,,,Confirm,Theresa Gasper with Marianne Williamson,"America is experiencing a dramatic moment of both peril and opportunity. Millions are asking, “What can I do to make a difference?”
 
 Join Marianne Williamson as she discusses how a revolution in consciousness paves the way to both personal and political renewal.
 
 What does it mean for a country to self-actualize?
 What would it look like for not only a person, but a collection of people, to become together all that we can be?
 How does individual freedom provide the greatest space for our collective genius to unfold?
 
 These questions underlie the possibility of a healed America: not merely a conversation about political externals, but rather a deeper, soulful, whole person consideration of what is possible in all of us, and through all of us, at this time in human history.
 
 There is hope.
 
 Attend the evening with Marianne Williamson and meet Theresa Gasper.
 
 Time: Friday, August 10, 7:30 PM - 9:30 PM
 
 
 Pre-Program 6:15 PM- 7:15 PM: Champagne Reception with Marianne
 Prices:
 Original: $100
 Pioneer: $250, Includes professional photo with Marianne Williamson
 Revolutionary: $500, Includes professional photo with Marianne Williamson and signed copy of her latest book, 'Tears to Triumph.'
 
 7:30p.m. - 9:30 p.m. General Admission: $35
 
 Event Address:
 IUE-CWA Local 755
 313 S Jefferson St
 Dayton, OH 45402
 
 Please make checks payable to:
 Theresa Gasper for Congress
 
 Marianne Williamson Bio:
 Marianne Williamson is an American author, activist and lecturer. She has published 12 books, including four New York Times number-one bestsellers.
 
 She is the founder of Project Angel Food, a meals-on-wheels program that serves homebound people with AIDs in the Los Angeles area, and the co-founder of The Peace Alliance, a grassroots campaign supporting legislation to establish a United States Department of Peace. Williamson also produces the Sister Giant Conferences, highlighting the intersection of spirituality and politics. 
 
 In 2018, Marianne has been touring America to discuss how a revolution in consciousness paves the way to both personal and political renewal, speaking with congressional candidates along the way that she believes can bring this renewal to Washington in November.",,,,"313 S Jefferson St, Dayton, OH 45402-2701, United States -",19:30:00,4,2018-08-10T19:30:00-0400,https://www.facebook.com/events/254586398601372/,Theresa Gasper with Marianne Williamson,https://www.facebook.com/gasperforcongress/,8/10/2018
,,,sb,sa,vk,Delete,Rick Neal Fundraiser in Bexley with James Carville,"You're invited to join hosts Jane Ackley, Mary Duffey & Tony Logan, Michael & Rachel Rourke, David Wilhelm, and Special Guest James Carville in support of Rick Neal, candidate for U.S. Congress in Ohio's 15th District.
 
 SPONSOR: $2700
 HOST: $1000
 SUPPORTER: $500
 GUEST: $250
 FRIEND: $100
 
 Where: 2580 Fair Avenue, Columbus, OH 43209
 
 When: Sunday, August 12 from 4:00 PM to 6:00 PM
 
 Please RSVP to Michael Lakomy at lakomy@rickneal.com or 513-849-1037. Contributions can be made online at https://secure.actblue.com/donate/rn-aug12, or by mail to:
 
 Rick Neal for Congress
 545 E Town St.
 Columbus, OH 43215",,,,"2580 Fair Ave, Columbus, OH 43209-2115, United States -",16:00:00,4,2018-08-12T16:00:00-0400,https://www.facebook.com/events/203526040338677/,Rick Neal Fundraiser in Bexley with James Carville,https://www.facebook.com/RickNealforCongress/,8/12/2018
