K1,K2,K3,D1,D2,D3,,,,Additional,City,State,,Start Time,Time Zone,,,,Facebook Page,Date
EG,SA,ykh,sb,,,Confirm,Abby Finkenauer Day of Action in Clayton County,"Tomorrow, Sunday August 5th Abby Finkenauer is planning a day of action here in Clayton County. The Dem’s can’t take this seat back without YOU! Join your Clayton Co. neighbors in Elkader on Sunday, August 5th from 3:30-6 to meet Abby, make phone calls or knock on doors. The gathering spot is the home of Jean Marie Hall, 514 NE Oak St. Elkader.",,Elkader,IA,"Clayton County Democrats - Elkader, IA",15:30:00,5,2018-08-05T15:30:00-0500,https://www.facebook.com/events/452893985120686/,Abby Finkenauer Day of Action in Clayton County,https://www.facebook.com/Abby4Iowa/,8/5/2018
sb,EG,SA,,,,Confirm,Sunday Brunch with Andy!,Meet and greet and eat with Andy and the team! Join us for a Sunday morning brunch to learn more about our mission and what you can do to get involved.,,Moorestown,NJ,"Moorestown, NJ - Moorestown, NJ",11:00:00,4,2018-08-05T11:00:00-0400,https://www.facebook.com/events/236033203850895/,Sunday Brunch with Andy!,https://www.facebook.com/AndyKimNJ/,8/5/2018
sb,EG,ykh,,,,Confirm,7th District Unity Rally!,"Join us this Sunday, August 5th, for a 7th District Unity Rally! With less than 100 days until the general election, it's time to come together and unite behind our strong ticket for the general election in November. Join Carolyn Bourdeaux, Democratic nominee for the 7th district, as well as several other state, local and former candidates as we celebrate our achievements and discuss our path forward to victory in November! 

The rally will take place at the George Pierce Park Community Center in Suwanee (George Pierce Park - Yellow Trail, 55 Buford Hwy NE, Suwanee, GA 30024). Please RSVP to charlesmorgan@carolyn4congress.com. You can contact us as well with any questions at (770) 904-1518.

Speakers and candidates include (but not limited to):
-Sarah Riggs Amico, nominee for Lt. Gov.
-John Barrow, nominee for Secretary of State
-Rep. Sam Park, House district 101
-Eric Christ, Peachtree Corners City-councilman 
-Steve Reilly, former 7th congressional district candidate
-Melissa Davis, former 7th congressional district candidate 
-Kathleen Allen, former 7th congressional district candidate
-Steve Smith, nominee for Senate district 27
-Donna McLeod, nominee for House district 105
-Aisha Yaqoob, nominee for House district 97
-Beth Moore, nominee for House district 95
-Andrea Stephenson, nominee for House district 104
-Emily Leslie, write-in candidate for House district 106
-Wandy Taylor, nominee for Gwinnett County School Board district 2",,Suwanee,GA,"George Pierce County Park - Suwanee, GA",16:30:00,4,2018-08-05T16:30:00-0400,https://www.facebook.com/events/276219886515752/,7th District Unity Rally!,https://www.facebook.com/carolyn4congress/,8/5/2018
sb,ykh,EG,,,,Confirm,Join Dan and Thomas Trehus at the Buffalo Bill Parade!,"Join Dan and Thomas Trehus at the Lanesboro Parade!

We'll be unit #69 which is on Whittier St in between Callhoun Ave and Fillmore Ave. in Lanesboro.

Join us for line-up at 1 PM, parade begins at 1:30 PM and join us for ice cream and treats at 500 Callhoun Ave in Lanesboro immediately after the parade.

Sign up here: https://events.mobilizeamerica.io/feehanforcongress/event/8314/

See map for line-up info here:
https://www.lanesboro-mn.gov/cmsAdmin/uploads/parade-lineup-map.pdf",,,,"Lanesboro, MN - Lanesboro, MN",13:00:00,5,2018-08-05T13:00:00-0500,https://www.facebook.com/events/2288307464520528/,Join Dan and Thomas Trehus at the Buffalo Bill Parade!,https://www.facebook.com/danfeehanforcongress/,8/5/2018
sb,ykh,EG,,,,Confirm,Meet Dr. Shannon Hader in Renton!,Come out on Sunday to meet 8th Congressional District candidate Dr. Shannon Hader in Renton - bring your toughest questions!,,,,"22029 196th Ave SE, Renton, WA 98058-0441, United States - ",18:00:00,7,2018-08-05T18:00:00-0700,https://www.facebook.com/events/218514462352355/,Meet Dr. Shannon Hader in Renton!,https://www.facebook.com/DrShannonForCongress/,8/5/2018
sb,ykh,EG,,,,Confirm,Lunch with Dan and Liz followed by Door Knocking!,"Join Dan Canon and Liz Watson for pizza, good conversation, and door knocking. Let’s flip the ninth from red to blue together! Lunch will be available from 1 - 2pm, followed by 🚪 knocking!

Questions? Please contact Marten Stein at marten@lizforindiana.com. 

Please RSVP here or at https://secure.ngpvan.com/vig8E_VFq0S1--4ZxRZnCg2 by Aug 4.",,,,"Parlour - Jeffersonville, IN",13:00:00,4,2018-08-05T13:00:00-0400,https://www.facebook.com/events/510039769450624/,Lunch with Dan and Liz followed by Door Knocking!,https://www.facebook.com/LizForIndiana/,8/5/2018
sb,ykh,EG,,,,Confirm,Rawlins Meet & Greet,"Come meet Mark at the Hampton Inn in Rawlins on August 5 from 1:30-3:30 pm! Chat with him about his ideas, and YOURS, for the future of Wyoming.

This event is open to the public and refreshments will be catered by Su Casa.",#N/A,,,"406 Airport Rd, Rawlins, WY 82301-5067, United States - ",13:30:00,6,2018-08-05T13:30:00-0600,https://www.facebook.com/events/496246957455265/,Rawlins Meet & Greet,https://www.facebook.com/markgordon4wyoming/,8/5/2018
sb,EG,SA,,,,Confirm,JYR Cocktails & Conservatives Summer Bash!,Join Team Putnam and Jacksonville Young Republicans at the 2018 Cocktails & Conservatives Summer Bash! Adam will be making a SPECIAL announcement.,,Jacksonville,FL,"2000 San Marco Boulevard, Jacksonville, FL 32207 - ",17:30:00,4,2018-08-06T17:30:00-0400,https://www.facebook.com/events/257993514807704/,JYR Cocktails & Conservatives Summer Bash!,https://www.facebook.com/adamputnam/,8/6/2018
sb,EG,ykh,,,,Confirm,DeWitt Co. Town Hall with Betsy!,"Join Betsy Dirksen Londrigan, local elected officials, and DeWitt County residents on Monday, August 6 at 6pm at the public library in Clinton, where we will be discussing local agricultural issues. Please join us by signing up at the link! #BDLIRL",,Clinton,IL,"Vespasian Warner Public Library District - Clinton, IL",18:00:00,5,2018-08-06T18:00:00-0500,https://www.facebook.com/events/309841439562280/,DeWitt Co. Town Hall with Betsy!,https://www.facebook.com/BetsyDirksenLondrigan/,8/6/2018
sb,EG,ykh,,,,Confirm,Janesville Coffee hour,Come grab a cup of coffee & talk with Cathy about the issues that matter to your family.,,,,"Mocha Moment - Janesville, WI",16:00:00,5,2018-08-06T16:00:00-0500,https://www.facebook.com/events/493289764476280/,Janesville Coffee hour,https://www.facebook.com/cathymyersforcongress/,8/6/2018
