K1,K2,K3,D1,D2,D3,,,,Additional,City,State,,Start Time,Time Zone,,,,,
,,,EG,SA,ykh,Delete,Door Knocking in Twin Falls with Aaron Swisher,Come knock doors with the Swisher team in twin falls!,,Twin Falls,ID,"1401 Poplar Ave, Twin Falls, ID 83301-6652, United States - ",18:00:00,6,2018-08-08T18:00:00-0600,https://www.facebook.com/events/656890204669715/,Door Knocking in Twin Falls with Aaron Swisher,https://www.facebook.com/SwisherforIdaho/,8/8/2018
,,,sb,EG,SA,Delete,Community Canvass with Linda Sarsour and Rep. Abdullah Hammoud,"This Saturday we're kicking off a HUGE community canvass to get out the vote for Abdul El-Sayed! Join us, Linda Sarsour, and Rep. Abdullah Hammoud as we take to the doors!

We have three shifts throughout the day! Find the time that works best for you.

Shift 1: 11 - 2:00 pm 
RSVP: https://go.abdulformichigan.com/event/action-attend/2292 

Shift 2: 2 - 5:00 pm
RSVP: https://go.abdulformichigan.com/event/action-attend/2293

Shift 3: 5 - 9:00 pm 
RSVP: https://go.abdulformichigan.com/event/action-attend/2294

Remember, we do this work together — so bring out your friends, family, and neighbors! We look forward to seeing you there!",,Detroit,MI,"4612 Lonyo St, Detroit, MI 48210-2105, United States - ",11:00:00,4,2018-08-04T11:00:00-0400,https://www.facebook.com/events/239814399974248/,Community Canvass with Linda Sarsour and Rep. Abdullah Hammoud,https://www.facebook.com/AbdulforMichigan/,8/4/2018
,,,sb,EG,SA,Delete,Volunteer with Grandpa Jan and Grandma Judy -Ann Arbor,"Come join Grandpa Jan and Grandma Judy as we Get Out The Vote for Abdul! We have less than a week to make history! Come meet the family and make some calls and knock some doorsfor Abdul! Make sure to bring a laptop if you are going to make calls

RSVP to phonebank: https://go.abdulformichigan.com/event/action/2473?source=map&akid= 

RSVP to knock doors: https://go.abdulformichigan.com/event/action/2251?source=map&akid=

NOTE: This is an event without Abdul.",,Ann Arbor,MI,"528 Virginia Ave, Ann Arbor, MI 48103-4138, United States - ",11:00:00,4,2018-08-04T11:00:00-0400,https://www.facebook.com/events/2165618683707330/,Volunteer with Grandpa Jan and Grandma Judy -Ann Arbor,https://www.facebook.com/AbdulforMichigan/,8/4/2018
,,,sb,EG,SA,Delete,8/5 - Voter Registration Drive,"Let's send Alexandria Ocasio-Cortez to Congress on November 6, 2018! We are actively seeking volunteers to help lead voter registration drives in NY14. Our goal is to sign up and help motivate as many new voters to participate in this year's general election. Come stop by with any questions, sign up to volunteer, and just say hello. Join the movement today!

If you have any questions, please email Shaniyat Chowdhury at shan@ocasio2018.com. If you'd like to volunteer to help out, DM the host, Ananya Kumar-Banerjee.",,,,34th Ave and 79th-80th Street -,8:00:00,4,2018-08-05T08:00:00-0400,https://www.facebook.com/events/589588308104231/,8/5 - Voter Registration Drive,https://www.facebook.com/Ocasio2018/,8/5/2018
,,,sb,EG,SA,Delete,8/6 - Voter Registration Drive (Elmhurst),"Let's send Alexandria Ocasio-Cortez to Congress on November 6, 2018! We are actively seeking volunteers to help lead voter registration drives in NY14. Our goal is to sign up and help motivate as many new voters to participate in this year's general election. Come stop by with any questions, sign up to volunteer, and just say hello. Join the movement today!

If you have any questions, please email Shaniyat Chowdhury at shan@ocasio2018.com. If you'd like to volunteer to help out, DM the host, Ananya Kumar-Banerjee.",,,,41st Ave 80th-81st Street -,12:00:00,4,2018-08-06T12:00:00-0400,https://www.facebook.com/events/267627417157797/,8/6 - Voter Registration Drive (Elmhurst),https://www.facebook.com/Ocasio2018/,8/6/2018
,,,sb,EG,SA,Delete,8/6 - Voter Registration Drive (Queens Office),"Let's send Alexandria Ocasio-Cortez to Congress on November 6, 2018! We are actively seeking volunteers to help lead voter registration drives in NY14. Our goal is to sign up and help motivate as many new voters to participate in this year's general election. Come stop by with any questions, sign up to volunteer, and just say hello. Join the movement today!

If you have any questions, please email Shaniyat Chowdhury at shan@ocasio2018.com. If you'd like to volunteer to help out, DM the host, Ananya Kumar-Banerjee.",,,,Parkchester Subway Stop -,17:00:00,4,2018-08-06T17:00:00-0400,https://www.facebook.com/events/287101715177568/,8/6 - Voter Registration Drive (Queens Office),https://www.facebook.com/Ocasio2018/,8/6/2018
,,,sb,EG,SA,Delete,8/6 - Voter Registration Drive (Jackson Heights),"Let's send Alexandria Ocasio-Cortez to Congress on November 6, 2018! We are actively seeking volunteers to help lead voter registration drives in NY14. Our goal is to sign up and help motivate as many new voters to participate in this year's general election. Come stop by with any questions, sign up to volunteer, and just say hello. Join the movement today!

If you have any questions, please email Shaniyat Chowdhury at shan@ocasio2018.com. If you'd like to volunteer to help out, DM the host, Ananya Kumar-Banerjee.",,,,37th Ave. 74th-75th Street -,17:00:00,4,2018-08-06T17:00:00-0400,https://www.facebook.com/events/461473394369446/,8/6 - Voter Registration Drive (Jackson Heights),https://www.facebook.com/Ocasio2018/,8/6/2018
,,,sb,EG,SA,Delete,8/6 - Voter Registration Drive (Woodside),"Let's send Alexandria Ocasio-Cortez to Congress on November 6, 2018! We are actively seeking volunteers to help lead voter registration drives in NY14. Our goal is to sign up and help motivate as many new voters to participate in this year's general election. Come stop by with any questions, sign up to volunteer, and just say hello. Join the movement today!

If you have any questions, please email Shaniyat Chowdhury at shan@ocasio2018.com. If you'd like to volunteer to help out, DM the host, Ananya Kumar-Banerjee.",,,,61st Street Roosevelt Ave. -,17:00:00,4,2018-08-06T17:00:00-0400,https://www.facebook.com/events/640589656309343/,8/6 - Voter Registration Drive (Woodside),https://www.facebook.com/Ocasio2018/,8/6/2018
,,,sb,EG,SA,Delete,8/6 - Voter Registration Drive (Queens Office),"Let's send Alexandria Ocasio-Cortez to Congress on November 6, 2018! We are actively seeking volunteers to help lead voter registration drives in NY14. Our goal is to sign up and help motivate as many new voters to participate in this year's general election. Come stop by with any questions, sign up to volunteer, and just say hello. Join the movement today!

If you have any questions, please email Shaniyat Chowdhury at shan@ocasio2018.com. If you'd like to volunteer to help out, DM the host, Ananya Kumar-Banerjee.",,,,40-08 Case St. 2nd floor -,17:00:00,4,2018-08-06T17:00:00-0400,https://www.facebook.com/events/2007868902877223/,8/6 - Voter Registration Drive (Queens Office),https://www.facebook.com/Ocasio2018/,8/6/2018
,,,sb,EG,SA,Delete,Lit Drop With Me,"Join us for a lit drop party this Saturday! We'll be meeting at the Anchorage campaign office in Spenard at 10:30am. Our Field Director, Sarra, will give us direction and set us off.
Early voting starts in less than a week- let's get out there!

Saturday, August 4th
1412 W 33rd Avenue Anchorage
10:30am-12:30pm",,,,"1412 W 33rd Ave, Anchorage, AK 99503-3637, United States - ",10:30:00,8,2018-08-04T10:30:00-0800,https://www.facebook.com/events/240052533306458/,Lit Drop With Me,https://www.facebook.com/alyse4alaska/,8/4/2018
